A,B,C,D
1,5,-1.82,47.22
2,2,3.98,-6.72
3,11,10.2,154.99
4,33,16.04,551.05
5,11,22.23,155.18
6,2,28.37,-6.99
7,10,34.02,137.27
8,24,40.12,389.37
9,15,46.27,227.28
10,12,52.09,173.25
11,19,58.14,299.37
12,3,64.09,11.29
13,25,70.2,407.11
14,27,76.05,443.18
15,26,82.09,425.35
16,7,88.11,83.27
17,10,94.13,137.31
18,31,99.98,515.05
19,22,106.05,353.27
20,12,112.17,172.98
21,31,118.29,515.07
22,23,124.24,371.18
23,14,130.1,209.32
24,28,136.29,460.99
25,0,142.07,-42.9
26,29,148.14,479.15
27,18,154.16,281.31
28,11,160,155.23
29,11,166.22,155.3
30,32,172.35,533.01
31,32,178.18,533.32
32,33,184.01,551.11
33,5,190.16,47.15
34,39,196.36,659.06
35,33,202.36,551.07
36,37,208.25,623.16
37,7,214.04,83.34
38,32,220.07,533.28
39,17,226.1,263.13
40,1,232.02,-24.98
41,4,238.35,29.14
42,31,244.2,515.18
43,4,250.26,29.28
44,21,256.25,335.26
45,21,262.1,335.16
46,30,268.08,497.03
47,8,274.07,101.01
48,37,279.99,623.11
49,19,286.16,299.15
50,34,292.17,569.2
51,30,298.13,497.09
52,7,304.04,83.31
53,19,310,299.19
54,9,316.13,118.99
55,29,322.34,479.03
56,7,328.17,83.05
57,4,334.17,29.14
58,0,340.06,-42.85
59,5,346.26,47.33
60,22,352.12,353.04
61,4,358.03,29.2
62,15,364.02,227.18
63,9,370.13,119.13
64,22,376.14,353.28
65,15,382.03,227.17
66,21,388.02,335.36
67,28,393.98,461.07
68,5,399.98,47.16
69,22,406.03,353.36
70,10,412.18,137.1
71,8,418.22,101.07
72,30,423.98,497.11
73,3,429.99,11.18
74,18,436.13,281.34
75,0,442.29,-43.01
76,19,448.1,299.35
77,9,453.98,119.36
78,19,460.03,299.28
79,29,466.18,479.26
80,27,472.2,443.06
81,39,478.28,659.3
82,1,484.11,-24.78
83,6,490.14,65.15
84,27,496.24,443.31
85,23,502.24,371.22
86,17,508.04,263.34
87,14,514.05,209.26
88,4,520.24,29.24
89,35,526.05,587.04
90,23,532.32,371.18
91,31,538.24,515.08
92,15,544.25,227.21
93,32,550.31,533.37
94,9,556.18,119.15
95,34,562.02,569.02
96,18,568.19,281
97,6,574.25,65.07
98,27,580.3,443.26
99,13,586.25,191.33
100,11,592,155.2
